name,naming_series,company,vehicle,driver,departure_time,status
DT-DEMO-000001,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2393-DE,Saima Malik,2023-03-01 10:00:00,In Transit
DT-DEMO-000002,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-1352-AB,Fahad Siddiqui,2023-03-02 06:00:00,Completed
DT-DEMO-000003,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-7775-CD,Saima Aslam,2023-03-02 10:00:00,Completed
DT-DEMO-000004,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-1735-BB,Salman Dar,2023-03-02 09:00:00,In Transit
DT-DEMO-000005,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-4245-DD,Sana Mirza,2023-03-04 05:00:00,Completed
DT-DEMO-000006,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-1483-CD,Tariq Gill,2023-03-05 07:00:00,Completed
DT-DEMO-000007,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-1483-CD,Nadia Gill,2023-03-05 06:00:00,Scheduled
DT-DEMO-000008,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7776-DC,Usman Qureshi,2023-03-06 09:00:00,Completed
DT-DEMO-000009,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-8400-AE,Usman Sheikh,2023-03-07 05:00:00,Completed
DT-DEMO-000010,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-3024-AA,Waqar Dar,2023-03-07 07:00:00,In Transit
DT-DEMO-000011,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3799-CE,Waqar Javed,2023-03-10 10:00:00,Completed
DT-DEMO-000012,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2111-EE,Bilal Sharif,2023-03-10 08:00:00,Completed
DT-DEMO-000013,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8808-BE,Farah Malik,2023-03-10 06:00:00,Scheduled
DT-DEMO-000014,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7262-EE,Sohail Sharif,2023-03-10 06:00:00,Scheduled
DT-DEMO-000015,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-4079-AB,Zain Sharif,2023-03-11 06:00:00,Completed
DT-DEMO-000016,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-5025-EE,Bushra Malik,2023-03-11 09:00:00,Completed
DT-DEMO-000017,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-3315-AD,Adnan Chaudhry,2023-03-13 05:00:00,Completed
DT-DEMO-000018,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7262-EE,Fahad Siddiqui,2023-03-14 08:00:00,Scheduled
DT-DEMO-000019,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7776-DC,Farah Khan,2023-03-14 10:00:00,In Transit
DT-DEMO-000020,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-1107-BE,Waqar Dar,2023-03-14 08:00:00,Completed
DT-DEMO-000021,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-1840-DC,Irfan Khan,2023-03-14 06:00:00,Completed
DT-DEMO-000022,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-7266-AC,Sana Ahmed,2023-03-15 09:00:00,Completed
DT-DEMO-000023,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-5043-DD,Waqar Javed,2023-03-16 07:00:00,Scheduled
DT-DEMO-000024,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-8400-AE,Waqar Dar,2023-03-16 07:00:00,Scheduled
DT-DEMO-000025,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-1352-AB,Usman Qureshi,2023-03-17 10:00:00,In Transit
DT-DEMO-000026,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-9269-AB,Bushra Malik,2023-03-17 08:00:00,Completed
DT-DEMO-000027,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-4783-EB,Asad Aslam,2023-03-18 09:00:00,Scheduled
DT-DEMO-000028,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9582-DE,Fahad Chaudhry,2023-03-19 07:00:00,Completed
DT-DEMO-000029,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-9784-EA,Sana Ahmed,2023-03-19 06:00:00,Scheduled
DT-DEMO-000030,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9582-DE,Salman Qureshi,2023-03-19 07:00:00,Completed
DT-DEMO-000031,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7776-DC,Saima Mirza,2023-03-19 09:00:00,Completed
DT-DEMO-000032,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-1893-BE,Bilal Sharif,2023-03-19 06:00:00,Completed
DT-DEMO-000033,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-2823-CD,Tariq Gill,2023-03-19 10:00:00,Completed
DT-DEMO-000034,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2173-CD,Zain Sharif,2023-03-19 10:00:00,In Transit
DT-DEMO-000035,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-9814-BB,Waqar Dar,2023-03-20 05:00:00,Scheduled
DT-DEMO-000036,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8808-BE,Saima Aslam,2023-03-20 08:00:00,Scheduled
DT-DEMO-000037,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-1807-BC,Fahad Siddiqui,2023-03-20 08:00:00,Scheduled
DT-DEMO-000038,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-4245-DD,Saima Malik,2023-03-20 05:00:00,Completed
DT-DEMO-000039,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3270-EE,Mehreen Qureshi,2023-03-20 07:00:00,Completed
DT-DEMO-000040,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-7775-CD,Naeem Rana,2023-03-20 09:00:00,Completed
DT-DEMO-000041,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9212-CA,Sadia Ahmed,2023-03-20 07:00:00,Completed
DT-DEMO-000042,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-1312-CD,Bushra Sheikh,2023-03-20 08:00:00,Scheduled
DT-DEMO-000043,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-3572-AC,Waqar Dar,2023-03-21 08:00:00,Completed
DT-DEMO-000044,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-4553-ED,Usman Hassan,2023-03-22 08:00:00,Completed
DT-DEMO-000045,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-1483-CD,Saima Malik,2023-03-22 10:00:00,Scheduled
DT-DEMO-000046,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-3727-DC,Farah Khan,2023-03-22 09:00:00,Completed
DT-DEMO-000047,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8617-AA,Zara Dar,2023-03-22 06:00:00,In Transit
DT-DEMO-000048,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7348-DD,Sana Mirza,2023-03-23 08:00:00,Completed
DT-DEMO-000049,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9231-BB,Usman Qureshi,2023-03-23 10:00:00,Scheduled
DT-DEMO-000050,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-5043-DD,Farah Malik,2023-03-23 10:00:00,Completed
DT-DEMO-000051,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-5025-EE,Fahad Chaudhry,2023-03-23 10:00:00,Scheduled
