employee_name,first_name,last_name,company,department,designation,date_of_birth,date_of_joining,gender,employment_type,status,branch
Bushra Chaudhry,Bushra,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,2000-02-01,2023-02-01,Female,Full-time,Active,Incinerator Facility - Lahore
Asad Khan,Asad,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1999-01-26,2022-09-10,Male,Full-time,Active,Incinerator Facility - Lahore
Imran Raza,Imran,Raza,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1982-02-21,2023-09-20,Male,Full-time,Active,Head Office - Lahore
Hamza Malik,Hamza,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1979-02-17,2020-03-18,Male,Full-time,Active,Incinerator Facility - Lahore
Kashif Mirza,Kashif,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1990-11-22,2024-02-10,Male,Full-time,Active,Incinerator Facility - Lahore
Sadia Aslam,Sadia,Aslam,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1977-01-08,2019-07-04,Female,Full-time,Active,Incinerator Facility - Lahore
Hina Mirza,Hina,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1971-05-22,2024-11-24,Female,Full-time,Active,Head Office - Lahore
Hassan Khan,Hassan,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1992-03-23,2019-03-16,Male,Full-time,Active,Incinerator Facility - Lahore
Ayesha Rana,Ayesha,Rana,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1995-12-09,2020-06-05,Female,Full-time,Active,Incinerator Facility - Lahore
Sadia Shah,Sadia,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1973-01-11,2025-07-09,Female,Full-time,Active,Head Office - Lahore
Hamza Raza,Hamza,Raza,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1988-11-03,2022-08-17,Male,Full-time,Active,Incinerator Facility - Lahore
Muhammad Chaudhry,Muhammad,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1997-10-06,2021-03-09,Male,Full-time,Active,Head Office - Lahore
Amir Mirza,Amir,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1991-12-04,2020-12-17,Male,Full-time,Active,Head Office - Lahore
Muhammad Aslam,Muhammad,Aslam,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1997-01-08,2019-08-12,Male,Full-time,Active,Incinerator Facility - Lahore
Waqas Ahmed,Waqas,Ahmed,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1975-01-18,2025-12-24,Male,Full-time,Active,Incinerator Facility - Lahore
Zain Qureshi,Zain,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1977-07-24,2021-05-27,Male,Full-time,Active,Head Office - Lahore
Sara Qureshi,Sara,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1973-09-22,2019-03-08,Female,Full-time,Active,Head Office - Lahore
Kashif Malik,Kashif,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1998-08-28,2021-05-11,Male,Full-time,Active,Head Office - Lahore
Sana Chaudhry,Sana,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1970-06-07,2021-10-26,Female,Full-time,Active,Incinerator Facility - Lahore
Sadia Mirza,Sadia,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1977-08-12,2023-08-25,Female,Full-time,Active,Head Office - Lahore
Sadia Shah,Sadia,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1987-04-05,2019-07-01,Female,Full-time,Active,Head Office - Lahore
Sana Qureshi,Sana,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1990-12-01,2021-01-25,Female,Full-time,Active,Incinerator Facility - Lahore
Shakeel Raza,Shakeel,Raza,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1993-05-04,2020-09-08,Male,Full-time,Active,Incinerator Facility - Lahore
Fatima Khan,Fatima,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1974-12-09,2019-01-08,Female,Full-time,Active,Incinerator Facility - Lahore
Nadia Shah,Nadia,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Collector,1981-08-24,2019-10-04,Female,Full-time,Active,Head Office - Lahore
Amina Aslam,Amina,Aslam,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1982-02-19,2023-01-14,Female,Full-time,Active,Head Office - Lahore
Zain Sheikh,Zain,Sheikh,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1978-06-26,2022-12-27,Male,Full-time,Active,Incinerator Facility - Lahore
Saad Chaudhry,Saad,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1978-04-03,2020-03-25,Male,Full-time,Active,Head Office - Lahore
Usman Malik,Usman,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1975-08-15,2021-07-04,Male,Full-time,Active,Incinerator Facility - Lahore
