company_name,lead_name,source,status,territory,email_id,mobile_no
Lead Hospital 001,Omar Hussain,Exhibition,Lead,Gujranwala,lead001@hospital.pk,+923414181288
Lead Hospital 002,Atif Hussain,Exhibition,Open,Lahore,lead002@hospital.pk,+923101313549
Lead Hospital 003,Hamza Mirza,Exhibition,Lead,Gujranwala,lead003@hospital.pk,+923323959338
Lead Hospital 004,Atif Chaudhry,Website,Lead,Gujranwala,lead004@hospital.pk,+923364704323
Lead Hospital 005,Waqar Mughal,Government Tender,Opportunity,Sheikhupura,lead005@hospital.pk,+923334112498
Lead Hospital 006,Sohail Sharif,Website,Replied,Sahiwal,lead006@hospital.pk,+923493503437
Lead Hospital 007,Salman Rana,Referral,Converted,Lahore,lead007@hospital.pk,+923178456770
Lead Hospital 008,Kashif Sheikh,Cold Call,Open,Lahore,lead008@hospital.pk,+923246388781
Lead Hospital 009,Tariq Mughal,Website,Replied,Gujranwala,lead009@hospital.pk,+923384333455
Lead Hospital 010,Naveed Butt,Referral,Lead,Sheikhupura,lead010@hospital.pk,+923189730412
Lead Hospital 011,Salman Aslam,Cold Call,Replied,Sialkot,lead011@hospital.pk,+923151450169
Lead Hospital 012,Rizwan Mughal,Referral,Lead,Faisalabad,lead012@hospital.pk,+923378190802
Lead Hospital 013,Imran Sharif,Exhibition,Replied,Faisalabad,lead013@hospital.pk,+923154985169
Lead Hospital 014,Usman Akhtar,Referral,Open,Sahiwal,lead014@hospital.pk,+923429331840
Lead Hospital 015,Salman Hussain,Government Tender,Do Not Contact,Rawalpindi,lead015@hospital.pk,+923324061066
Lead Hospital 016,Irfan Ahmed,Website,Open,Lahore,lead016@hospital.pk,+923357439391
Lead Hospital 017,Omar Mughal,Referral,Opportunity,Sheikhupura,lead017@hospital.pk,+923380848505
Lead Hospital 018,Bilal Mirza,Website,Do Not Contact,Rawalpindi,lead018@hospital.pk,+923219377461
Lead Hospital 019,Salman Sheikh,Referral,Replied,Faisalabad,lead019@hospital.pk,+923212657532
Lead Hospital 020,Ali Gill,Website,Lead,Lahore,lead020@hospital.pk,+923359982366
Lead Hospital 021,Muhammad Butt,Website,Lead,Sahiwal,lead021@hospital.pk,+923418459033
Lead Hospital 022,Atif Hassan,Cold Call,Lead,Rawalpindi,lead022@hospital.pk,+923261944858
Lead Hospital 023,Fahad Hassan,Website,Converted,Multan,lead023@hospital.pk,+923415466982
Lead Hospital 024,Bilal Mughal,Website,Lead,Faisalabad,lead024@hospital.pk,+923248914922
Lead Hospital 025,Imran Qureshi,Government Tender,Do Not Contact,Sheikhupura,lead025@hospital.pk,+923229827477
Lead Hospital 026,Rizwan Ahmed,Website,Converted,Lahore,lead026@hospital.pk,+923383918139
Lead Hospital 027,Adnan Butt,Cold Call,Open,Sahiwal,lead027@hospital.pk,+923102324073
Lead Hospital 028,Irfan Butt,Government Tender,Do Not Contact,Sargodha,lead028@hospital.pk,+923296743339
Lead Hospital 029,Kashif Hassan,Referral,Replied,Bahawalpur,lead029@hospital.pk,+923327682576
Lead Hospital 030,Naveed Chaudhry,Exhibition,Lead,Sialkot,lead030@hospital.pk,+923166365514
Lead Hospital 031,Hassan Akhtar,Referral,Opportunity,Sialkot,lead031@hospital.pk,+923478349528
Lead Hospital 032,Shahid Malik,Website,Replied,Sargodha,lead032@hospital.pk,+923162128100
Lead Hospital 033,Omar Siddiqui,Government Tender,Do Not Contact,Gujranwala,lead033@hospital.pk,+923468855311
Lead Hospital 034,Zain Hussain,Exhibition,Replied,Bahawalpur,lead034@hospital.pk,+923201353165
Lead Hospital 035,Naeem Sharif,Cold Call,Open,Lahore,lead035@hospital.pk,+923461936310
Lead Hospital 036,Kamran Hassan,Exhibition,Opportunity,Sahiwal,lead036@hospital.pk,+923453555406
Lead Hospital 037,Hassan Sheikh,Exhibition,Opportunity,Sheikhupura,lead037@hospital.pk,+923154611664
Lead Hospital 038,Ali Mughal,Referral,Replied,Multan,lead038@hospital.pk,+923419417162
Lead Hospital 039,Hassan Chaudhry,Exhibition,Do Not Contact,Sargodha,lead039@hospital.pk,+923249528389
Lead Hospital 040,Fahad Dar,Cold Call,Opportunity,Sheikhupura,lead040@hospital.pk,+923317134002
Lead Hospital 041,Naveed Rana,Referral,Opportunity,Rawalpindi,lead041@hospital.pk,+923165600288
Lead Hospital 042,Atif Sharif,Referral,Do Not Contact,Faisalabad,lead042@hospital.pk,+923115957692
Lead Hospital 043,Junaid Malik,Website,Opportunity,Lahore,lead043@hospital.pk,+923196151267
Lead Hospital 044,Waqar Aslam,Referral,Replied,Sheikhupura,lead044@hospital.pk,+923434595466
Lead Hospital 045,Fahad Ahmed,Government Tender,Opportunity,Sargodha,lead045@hospital.pk,+923208411284
Lead Hospital 046,Kamran Sharif,Exhibition,Converted,Gujranwala,lead046@hospital.pk,+923391219246
Lead Hospital 047,Arslan Hussain,Government Tender,Lead,Lahore,lead047@hospital.pk,+923331072679
Lead Hospital 048,Faisal Siddiqui,Cold Call,Opportunity,Sargodha,lead048@hospital.pk,+923346776067
Lead Hospital 049,Muhammad Qureshi,Government Tender,Do Not Contact,Gujranwala,lead049@hospital.pk,+923479062651
Lead Hospital 050,Atif Gill,Referral,Replied,Bahawalpur,lead050@hospital.pk,+923361700368
Lead Hospital 051,Rizwan Sharif,Government Tender,Do Not Contact,Sahiwal,lead051@hospital.pk,+923407203028
Lead Hospital 052,Atif Hussain,Referral,Converted,Lahore,lead052@hospital.pk,+923310123127
Lead Hospital 053,Atif Raza,Exhibition,Converted,Sialkot,lead053@hospital.pk,+923252706240
Lead Hospital 054,Muhammad Khan,Government Tender,Lead,Faisalabad,lead054@hospital.pk,+923296714920
Lead Hospital 055,Arslan Raza,Website,Do Not Contact,Sialkot,lead055@hospital.pk,+923304318777
Lead Hospital 056,Tariq Mughal,Cold Call,Opportunity,Sialkot,lead056@hospital.pk,+923130305956
Lead Hospital 057,Zain Chaudhry,Cold Call,Converted,Rawalpindi,lead057@hospital.pk,+923469362499
Lead Hospital 058,Salman Mirza,Website,Replied,Faisalabad,lead058@hospital.pk,+923110582793
Lead Hospital 059,Saad Malik,Exhibition,Do Not Contact,Bahawalpur,lead059@hospital.pk,+923404969200
Lead Hospital 060,Naeem Gill,Cold Call,Lead,Sargodha,lead060@hospital.pk,+923415674318
Lead Hospital 061,Saad Dar,Government Tender,Opportunity,Sialkot,lead061@hospital.pk,+923407379346
Lead Hospital 062,Arslan Sharif,Website,Do Not Contact,Multan,lead062@hospital.pk,+923280371156
Lead Hospital 063,Naveed Aslam,Referral,Converted,Gujranwala,lead063@hospital.pk,+923295063616
Lead Hospital 064,Asad Sharif,Website,Converted,Multan,lead064@hospital.pk,+923254272843
Lead Hospital 065,Muhammad Mirza,Government Tender,Opportunity,Multan,lead065@hospital.pk,+923435314692
Lead Hospital 066,Adnan Raza,Website,Converted,Sialkot,lead066@hospital.pk,+923246761681
Lead Hospital 067,Rizwan Akhtar,Exhibition,Opportunity,Multan,lead067@hospital.pk,+923286464117
Lead Hospital 068,Sohail Mirza,Government Tender,Replied,Bahawalpur,lead068@hospital.pk,+923456190601
Lead Hospital 069,Saad Butt,Exhibition,Opportunity,Gujranwala,lead069@hospital.pk,+923435524924
Lead Hospital 070,Kashif Hussain,Referral,Lead,Sahiwal,lead070@hospital.pk,+923200147328
Lead Hospital 071,Asad Siddiqui,Cold Call,Do Not Contact,Sahiwal,lead071@hospital.pk,+923429865457
Lead Hospital 072,Irfan Raza,Website,Converted,Multan,lead072@hospital.pk,+923295568472
Lead Hospital 073,Usman Chaudhry,Referral,Do Not Contact,Gujranwala,lead073@hospital.pk,+923333747574
Lead Hospital 074,Saad Ahmed,Referral,Opportunity,Gujranwala,lead074@hospital.pk,+923254105895
Lead Hospital 075,Hamza Javed,Referral,Opportunity,Multan,lead075@hospital.pk,+923160966297
Lead Hospital 076,Asad Khan,Referral,Replied,Sargodha,lead076@hospital.pk,+923360587666
Lead Hospital 077,Tariq Malik,Referral,Open,Gujranwala,lead077@hospital.pk,+923173245636
Lead Hospital 078,Hamza Rana,Government Tender,Open,Lahore,lead078@hospital.pk,+923487875275
Lead Hospital 079,Arslan Khan,Website,Lead,Sialkot,lead079@hospital.pk,+923422981403
Lead Hospital 080,Salman Ahmed,Exhibition,Replied,Rawalpindi,lead080@hospital.pk,+923313081406
Lead Hospital 081,Zain Hassan,Government Tender,Do Not Contact,Sahiwal,lead081@hospital.pk,+923164769511
Lead Hospital 082,Kamran Raza,Government Tender,Replied,Sargodha,lead082@hospital.pk,+923148451948
